"Hole_Id","Bore_Hole_ID","WELL_ID","Diameter","Depth_from","Depth_to","HOLE_DEPTH_UOM","HOLE_DIAMETER_UOM"
1005303295,1005096398,"7225985",5.00,0.00,46.00,"ft","inch"
1005303307,1005096401,"7225986",5.00,0.00,63.00,"ft","inch"
1005303308,1005096401,"7225986",4.00,63.00,79.00,"ft","inch"
1005303320,1005096404,"7225987",5.00,0.00,63.00,"ft","inch"
1005303331,1005096407,"7225988",5.00,0.00,50.00,"ft","inch"
1005303343,1005096410,"7225989",5.00,0.00,57.00,"ft","inch"
1005303344,1005096410,"7225989",4.00,50.00,67.00,"ft","inch"
1005303355,1005096413,"7225990",5.00,0.00,36.00,"ft","inch"
1005332649,1005100383,"7226085",27.28,0.00,6.20,"m","cm"
1005332650,1005100383,"7226085",15.55,6.20,71.30,"m","cm"
1005348716,1005105238,"7226311",8.00,0.00,15.00,"ft","inch"
1005348726,1005105241,"7226312",8.00,0.00,15.00,"ft","inch"
1005348736,1005105244,"7226313",,,,"ft","inch"
1005240917,1005108745,"7226474",,,,"ft","inch"
1005240932,1005108748,"7226475",,,,"ft","inch"
1005240993,1005108771,"7226477",9.75,0.00,131.00,"ft","inch"
1005240994,1005108771,"7226477",6.00,131.00,320.00,"ft","inch"
1005241036,1005108774,"7226478",9.75,0.00,20.00,"ft","inch"
1005241037,1005108774,"7226478",5.93,20.00,242.00,"ft","inch"
1005241139,1005108789,"7226479",9.75,0.00,32.00,"ft","inch"
1005241140,1005108789,"7226479",6.00,32.00,102.00,"ft","inch"
1005241236,1005108795,"7226481",9.75,0.00,108.00,"ft","inch"
1005241237,1005108795,"7226481",6.12,108.00,110.00,"ft","inch"
1005241632,1005108825,"7226486",9.75,0.00,42.00,"ft","inch"
1005241633,1005108825,"7226486",5.87,42.00,160.00,"ft","inch"
1005241817,1005108834,"7226489",9.75,0.00,53.00,"ft","inch"
1005241818,1005108834,"7226489",5.87,53.00,155.00,"ft","inch"
1005241949,1005108837,"7226490",9.75,0.00,50.00,"ft","inch"
1005241950,1005108837,"7226490",6.12,50.00,160.00,"ft","inch"
1005242187,1005108866,"7226495",9.75,0.00,67.00,"ft","inch"
1005242188,1005108866,"7226495",6.12,67.00,160.00,"ft","inch"
1005242322,1005108897,"7226498",9.75,0.00,71.00,"ft","inch"
1005242323,1005108897,"7226498",6.06,71.00,140.00,"ft","inch"
1005242365,1005108900,"7226499",9.75,0.00,40.00,"ft","inch"
1005242366,1005108900,"7226499",6.06,40.00,120.00,"ft","inch"
1005242409,1005108903,"7226500",9.75,0.00,52.00,"ft","inch"
1005242410,1005108903,"7226500",6.00,52.00,245.00,"ft","inch"
1005242577,1005108909,"7226502",9.75,0.00,102.00,"ft","inch"
1005242578,1005108909,"7226502",5.87,102.00,105.00,"ft","inch"
1005242732,1005108931,"7226505",9.75,0.00,132.00,"ft","inch"
1005242733,1005108931,"7226505",5.93,132.00,300.00,"ft","inch"
1005242816,1005108947,"7226507",,,,"ft","inch"
1005242826,1005108950,"7226508",,,,"ft","inch"
1005242843,1005108975,"7226510",,,,"ft","inch"
1005242875,1005109006,"7226513",5.87,84.00,110.00,"ft","inch"
1005242876,1005109006,"7226513",9.75,0.00,84.00,"ft","inch"
1005242933,1005109009,"7226514",9.75,0.00,68.00,"ft","inch"
1005242934,1005109009,"7226514",5.81,68.00,160.00,"ft","inch"
1005243133,1005109012,"7226515",9.75,0.00,62.00,"ft","inch"
1005243134,1005109012,"7226515",5.81,62.00,120.00,"ft","inch"
1005243184,1005109015,"7226516",9.75,0.00,62.00,"ft","inch"
1005243185,1005109015,"7226516",5.87,62.00,170.00,"ft","inch"
1005243304,1005109021,"7226518",9.75,0.00,60.00,"ft","inch"
1005243305,1005109021,"7226518",6.12,60.00,400.00,"ft","inch"
1005243470,1005109027,"7226520",9.75,0.00,82.00,"ft","inch"
1005243471,1005109027,"7226520",5.81,82.00,120.00,"ft","inch"
1005244352,1005109045,"7226526",,0.00,180.00,"ft","inch"
1005244353,1005109045,"7226526",,2.00,225.00,"ft","inch"
1005244396,1005109048,"7226527",9.75,0.00,40.00,"ft","inch"
1005244397,1005109048,"7226527",6.00,40.00,160.00,"ft","inch"
1005244440,1005109051,"7226528",9.75,0.00,43.00,"ft","inch"
1005244441,1005109051,"7226528",5.93,43.00,61.00,"ft","inch"
1005244442,1005109051,"7226528",,,,"ft","inch"
1005244486,1005109054,"7226529",9.75,0.00,42.00,"ft","inch"
1005244487,1005109054,"7226529",5.93,42.00,61.00,"ft","inch"
1005244612,1005109082,"7226532",9.75,0.00,20.00,"ft","inch"
1005244613,1005109082,"7226532",6.00,20.00,120.00,"ft","inch"
1005244654,1005109085,"7226533",9.75,0.00,88.00,"ft","inch"
1005244655,1005109085,"7226533",5.93,88.00,100.00,"ft","inch"
1005244699,1005109104,"7226534",9.75,0.00,62.00,"ft","inch"
1005244700,1005109104,"7226534",6.00,62.00,100.00,"ft","inch"
1005244744,1005109107,"7226535",9.75,0.00,46.00,"ft","inch"
1005244745,1005109107,"7226535",6.00,46.00,110.00,"ft","inch"
1005244866,1005109477,"7226541",10.16,0.00,5.00,"m","cm"
1005244874,1005109496,"7226542",10.16,0.00,4.40,"m","cm"
1005245263,1005109514,"7226543",20.30,0.00,1.40,"m","cm"
1005245264,1005109514,"7226543",10.16,1.40,4.60,"m","cm"
1005245324,1005109517,"7226544",20.30,0.00,1.45,"m","cm"
1005245325,1005109517,"7226544",10.15,1.45,4.60,"m","cm"
1005245336,1005109520,"7226545",,,,"m","cm"
1005245347,1005109523,"7226546",20.30,0.00,1.05,"m","cm"
1005245348,1005109523,"7226546",10.16,1.05,4.60,"m","cm"
1005245362,1005109526,"7226547",20.30,0.00,1.45,"m","cm"
1005245363,1005109526,"7226547",10.16,1.45,4.60,"m","cm"
1005245374,1005109529,"7226548",20.30,0.00,1.40,"m","cm"
1005245375,1005109529,"7226548",10.16,1.40,4.60,"m","cm"
1005251475,1005110967,"7226651",10.00,0.00,69.00,"ft","inch"
1005251476,1005110967,"7226651",6.00,69.00,80.00,"ft","inch"
1005256280,1005116191,"7226780",6.03,0.00,2.13,"m","cm"
1005256339,1005116194,"7226781",6.03,0.00,1.50,"m","cm"
1005256383,1005116197,"7226782",6.02,0.00,1.50,"ft","inch"
1005256420,1005116200,"7226783",6.03,0.00,1.50,"m","cm"
1005256432,1005116213,"7226784",6.03,0.00,4.51,"m","cm"
1005256444,1005116216,"7226785",4.82,0.00,1.50,"m","cm"
1005256456,1005116219,"7226786",20.32,0.00,5.49,"m","cm"
1005262956,1005116367,"7226796",15.24,0.00,6.10,"m","cm"
1005262968,1005116370,"7226797",20.32,0.00,2.13,"m","cm"
1005262977,1005116383,"7226798",,,,"m","cm"
1005262990,1005116386,"7226799",15.24,0.00,6.10,"m","cm"
1005263004,1005116417,"7226800",15.24,0.00,6.10,"m","cm"
1005263018,1005116453,"7226801",15.24,0.00,9.14,"m","cm"
1005263030,1005116478,"7226802",20.32,0.00,2.13,"m","cm"
1005263042,1005116711,"7226803",20.32,0.00,2.13,"m","cm"
1005263055,1005116714,"7226804",15.24,0.00,9.14,"m","cm"
1005263069,1005116717,"7226805",15.32,0.00,6.10,"m","cm"
1005328754,1005117986,"7226959",8.25,0.00,1.50,"m","cm"
1005328755,1005117986,"7226959",5.71,1.50,5.49,"m","cm"
1005328769,1005117989,"7226960",0.25,0.00,1.22,"m","cm"
1005328770,1005117989,"7226960",5.71,1.22,4.88,"m","cm"
1005329159,1005119320,"7226984",11.43,0.00,4.57,"m","cm"
1005329160,1005119320,"7226984",8.00,4.57,9.14,"m","cm"
1005329177,1005119323,"7226985",8.25,0.00,3.10,"m","cm"
1005329178,1005119323,"7226985",9.71,3.00,9.14,"m","cm"
1005329192,1005119326,"7226986",8.25,0.00,3.10,"m","cm"
1005329193,1005119326,"7226986",5.71,3.10,9.14,"m","cm"
1005331462,1005119491,"7227031",8.25,0.00,1.83,"m","cm"
1005331463,1005119491,"7227031",5.71,1.83,4.27,"m","cm"
1005331523,1005119494,"7227032",8.25,0.00,2.74,"m","cm"
1005331524,1005119494,"7227032",5.71,2.74,5.14,"m","cm"
1005331764,1005119506,"7227036",8.25,0.00,4.27,"m","cm"
1005332171,1005119668,"7227056",5.71,8.50,5.18,"m","cm"
1005332172,1005119668,"7227056",8.25,0.00,8.51,"m","cm"
1005345939,1005123581,"7227287",,,,"ft","inch"
1005350645,1005123599,"7227293",9.87,0.00,48.00,"ft","inch"
1005350646,1005123599,"7227293",6.12,48.00,161.00,"ft","inch"
1005356225,1005124425,"7227433",,,,"ft","inch"
1005356254,1005124428,"7227434",6.12,75.00,51.50,"ft","inch"
1005356255,1005124428,"7227434",9.87,51.50,0.00,"ft","inch"
1005356296,1005124431,"7227435",9.87,0.00,54.25,"ft","inch"
1005356297,1005124431,"7227435",6.12,54.25,84.00,"ft","inch"
1005356311,1005124434,"7227436",,,,"ft","inch"
1005356331,1005124437,"7227437",9.87,0.00,33.00,"ft","inch"
1005356332,1005124437,"7227437",6.12,33.00,60.00,"ft","inch"
1005359895,1005124440,"7227438",,,,"ft","inch"
1005378956,1005128919,"7227708",8.00,0.00,15.00,"ft","inch"
1005379187,1005130188,"7227730",20.32,0.00,2.13,"m","cm"
1005379284,1005130206,"7227736",,,,"m","cm"
1005379597,1005130254,"7227752",3.25,0.00,4.57,"m","cm"
1005379739,1005130272,"7227758",8.25,0.00,4.27,"m","cm"
1005381674,1005130275,"7227759",8.25,0.00,4.27,"m","cm"
1005381697,1005130278,"7227760",8.25,0.00,4.57,"m","cm"
1005381822,1005130293,"7227765",11.43,0.00,3.35,"m","cm"
1005381836,1005130296,"7227766",11.43,0.00,3.10,"m","cm"
1005381837,1005130296,"7227766",7.63,3.10,9.14,"m","cm"
1005381852,1005130299,"7227767",7.62,5.49,12.19,"m","cm"
1005381853,1005130299,"7227767",11.43,0.00,5.49,"m","cm"
1005381868,1005130302,"7227768",11.43,0.00,6.40,"m","cm"
1005381869,1005130302,"7227768",7.62,6.40,12.19,"m","cm"
1005381896,1005130305,"7227769",11.43,0.00,1.52,"m","cm"
1005381897,1005130305,"7227769",7.63,1.52,9.14,"m","cm"
1005394112,1005130818,"7227808",8.25,0.00,4.57,"m","cm"
1005394126,1005130821,"7227809",8.25,0.00,4.57,"m","cm"
1005394684,1005130824,"7227810",8.25,0.00,4.57,"m","cm"
1005394829,1005130827,"7227811",8.25,0.00,4.57,"m","cm"
1005395020,1005130830,"7227812",8.25,0.00,4.57,"m","cm"
1005395058,1005130909,"7227813",8.25,0.00,4.57,"m","cm"
1005395096,1005130912,"7227814",8.25,0.00,4.57,"m","cm"
1005401121,1005131635,"7227883",8.25,0.00,5.33,"m","cm"
1005401150,1005131651,"7227884",8.25,0.00,5.18,"m","cm"
1005401167,1005131654,"7227885",8.25,0.00,4.57,"m","cm"
1005401181,1005131657,"7227886",8.25,0.00,3.10,"m","cm"
1005410251,1005133511,"7227977",12.00,0.00,16.00,"ft","inch"
1005410360,1005133526,"7227982",10.00,0.00,198.00,"ft","inch"
1005410361,1005133526,"7227982",6.00,198.00,287.00,"ft","inch"
1005410420,1005133529,"7227983",10.00,0.00,200.00,"ft","inch"
1005410421,1005133529,"7227983",6.00,200.00,287.00,"ft","inch"
1005413332,1005133729,"7228005",12.00,0.00,16.00,"ft","inch"
1005413333,1005133729,"7228005",8.00,16.00,65.00,"ft","inch"
1005413343,1005133732,"7228006",,,,"ft","inch"
1005413383,1005133746,"7228007",9.75,0.00,44.00,"ft","inch"
1005413384,1005133746,"7228007",5.93,44.00,60.00,"ft","inch"
1005413442,1005133749,"7228008",9.75,0.00,40.00,"ft","inch"
1005413443,1005133749,"7228008",6.00,40.00,225.00,"ft","inch"
1005413484,1005133763,"7228009",9.75,0.00,55.00,"ft","inch"
1005413485,1005133763,"7228009",5.93,55.00,200.00,"ft","inch"
1005413554,1005133766,"7228010",9.75,0.00,51.00,"ft","inch"
1005413555,1005133766,"7228010",5.93,51.00,122.00,"ft","inch"
1005413619,1005133780,"7228011",9.75,0.00,60.00,"ft","inch"
1005413620,1005133780,"7228011",5.93,60.00,120.00,"ft","inch"
1005413687,1005134170,"7228012",9.75,0.00,140.00,"ft","inch"
1005413688,1005134170,"7228012",6.93,140.00,240.00,"ft","inch"
1005413797,1005134214,"7228014",,0.00,20.00,"ft","inch"
1005413798,1005134214,"7228014",,20.00,100.00,"ft","inch"
1005413842,1005134217,"7228015",9.75,0.00,66.00,"ft","inch"
1005413843,1005134217,"7228015",6.00,66.00,103.00,"ft","inch"
1005413882,1005134231,"7228016",9.75,0.00,23.00,"ft","inch"
1005413883,1005134231,"7228016",6.12,23.00,200.00,"ft","inch"
1005413968,1005134234,"7228017",9.75,0.00,64.00,"ft","inch"
1005413969,1005134234,"7228017",6.00,64.00,103.00,"ft","inch"
1005414408,1005134237,"7228018",9.75,0.00,38.00,"ft","inch"
1005414409,1005134237,"7228018",5.93,38.00,103.00,"ft","inch"
1005414526,1005134240,"7228019",9.75,0.00,40.00,"ft","inch"
1005414527,1005134240,"7228019",6.12,40.00,142.00,"ft","inch"
1005414528,1005134240,"7228019",5.87,142.00,200.00,"ft","inch"
1005414816,1005134258,"7228021",9.75,0.00,58.00,"ft","inch"
1005414817,1005134258,"7228021",5.93,58.00,162.00,"ft","inch"
1005414915,1005134301,"7228022",9.75,0.00,198.00,"ft","inch"
1005414916,1005134301,"7228022",5.93,198.00,240.00,"ft","inch"
1005415166,1005134307,"7228024",9.75,0.00,20.00,"ft","inch"
1005415167,1005134307,"7228024",6.12,20.00,65.00,"ft","inch"
1005415251,1005134310,"7228025",9.75,0.00,26.00,"ft","inch"
1005415252,1005134310,"7228025",6.00,26.00,100.00,"ft","inch"
1005415438,1005134316,"7228027",9.75,0.00,58.00,"ft","inch"
1005415439,1005134316,"7228027",6.00,58.00,78.00,"ft","inch"
1005415739,1005134328,"7228031",9.75,0.00,23.00,"ft","inch"
1005415740,1005134328,"7228031",5.87,23.00,160.00,"ft","inch"
1005415782,1005134331,"7228032",9.75,0.00,58.00,"ft","inch"
1005415783,1005134331,"7228032",6.00,58.00,203.00,"ft","inch"
1005415825,1005134334,"7228033",9.75,0.00,50.00,"ft","inch"
1005415826,1005134334,"7228033",6.00,50.00,123.00,"ft","inch"
1005415866,1005134337,"7228034",9.75,0.00,20.00,"ft","inch"
1005415867,1005134337,"7228034",5.87,20.00,92.00,"ft","inch"
1005416552,1005134349,"7228038",,,,"ft","inch"
1005416562,1005134671,"7228051",20.30,0.00,8.00,"m","cm"
1005427909,1005134776,"7228086",24.90,0.00,30.50,"m","cm"
1005427910,1005134776,"7228086",15.55,30.50,32.30,"m","cm"
1005427996,1005134791,"7228089",,,,"m","cm"
1005428003,1005134794,"7228090",,,,"m","cm"
1005431796,1005137565,"7228282",0.00,0.00,52.00,"ft","inch"
1005433567,1005139719,"7228356",4.82,0.00,2.13,"m","cm"
1005435492,1005140882,"7228427",4.21,0.00,4.27,"m","cm"
1005377163,1005148509,"7228805",22.86,0.00,8.00,"m","cm"
1005377191,1005148512,"7228806",,,,"m","cm"
1005377241,1005148518,"7228808",22.86,0.00,6.25,"m","cm"
1005377242,1005148518,"7228808",15.24,6.25,39.65,"m","cm"
1005377243,1005148518,"7228808",13.97,39.65,41.18,"m","cm"
1005377497,1005148521,"7228809",22.86,0.00,11.74,"m","cm"
1005377498,1005148521,"7228809",15.24,11.74,15.25,"m","cm"
1005377539,1005148524,"7228810",22.86,0.00,8.08,"m","cm"
1005377540,1005148524,"7228810",15.04,8.08,15.25,"m","cm"
1005377541,1005148524,"7228810",15.04,8.08,15.25,"m","cm"
1005377578,1005148527,"7228811",24.70,0.00,9.15,"m","cm"
1005377579,1005148527,"7228811",15.24,9.15,58.00,"m","cm"
1005377694,1005148536,"7228814",,,,"m","cm"
1005377708,1005148539,"7228815",22.86,0.00,10.68,"m","cm"
1005377744,1005148542,"7228816",,,,"m","cm"
1005379796,1005152373,"7228935",8.00,0.00,18.00,"ft","inch"
1005379910,1005152376,"7228936",8.00,0.00,16.00,"ft","inch"
1005381748,1005153661,"7228996",24.90,0.00,12.80,"m","cm"
1005381749,1005153661,"7228996",15.55,12.80,39.00,"m","cm"
1005381881,1005153664,"7228997",12.30,0.00,29.20,"m","cm"
1005382257,1005153809,"7229001",24.90,0.00,24.30,"m","cm"
1005382258,1005153809,"7229001",15.55,24.30,27.40,"m","cm"
1005382623,1005153867,"7229007",15.15,0.00,18.18,"m","cm"
1005382742,1005153876,"7229010",15.55,0.00,18.18,"m","cm"
1005382782,1005154038,"7229011",15.55,0.00,18.78,"m","cm"
1005382822,1005154041,"7229012",15.55,0.00,12.72,"m","cm"
1005382938,1005154101,"7229015",15.55,0.00,42.03,"m","cm"
1005383055,1005154110,"7229018",15.55,0.00,36.96,"m","cm"
1005388924,1005158384,"7229189",9.87,0.00,79.00,"ft","inch"
1005388925,1005158384,"7229189",6.12,79.00,181.00,"ft","inch"
1005395565,1005161114,"7229420",20.00,0.00,3.96,"m","cm"
1005395624,1005161117,"7229421",,,,"ft","inch"
1005395649,1005161120,"7229422",8.00,0.00,15.00,"ft","inch"
1005400812,1005162585,"7229541",,,,"ft","inch"
1005358465,1005173579,"7229963",5.70,0.00,3.66,"m","cm"
1005358478,1005173582,"7229964",5.70,0.00,3.66,"m","cm"
1005358491,1005173585,"7229965",3.25,0.00,12.00,"ft","inch"
1005358503,1005173588,"7229966",3.25,0.00,10.50,"ft","inch"
1005359124,1005174385,"7230013",8.25,0.00,3.66,"m","cm"
1005359125,1005174385,"7230013",5.71,3.66,5.18,"m","cm"
1005359139,1005174388,"7230014",8.25,0.00,3.35,"m","cm"
1005359140,1005174388,"7230014",5.71,3.35,4.88,"m","cm"
1005359154,1005174391,"7230015",8.25,0.00,3.10,"m","cm"
1005359155,1005174391,"7230015",5.71,3.10,4.57,"m","cm"
1005359222,1005174619,"7230032",8.25,0.00,7.62,"m","cm"
1005359236,1005174622,"7230033",8.25,0.00,7.62,"m","cm"
1005359308,1005174625,"7230034",20.32,0.00,4.57,"m","cm"
1005359477,1005174639,"7230035",20.32,0.00,4.57,"m","cm"
1005359646,1005175212,"7230039",8.25,0.00,3.35,"m","cm"
1005359647,1005175212,"7230039",5.71,3.35,4.88,"m","cm"
1005359704,1005175714,"7230040",8.25,0.00,3.35,"m","cm"
1005359705,1005175714,"7230040",5.71,3.35,4.88,"m","cm"
1005359758,1005175787,"7230044",8.25,0.00,6.10,"m","cm"
1005359812,1005175790,"7230045",8.25,0.00,6.10,"m","cm"
1005359827,1005175824,"7230046",8.25,0.00,6.10,"m","cm"
1005361216,1005177353,"7230084",20.30,0.00,5.03,"m","cm"
1005361229,1005177356,"7230085",20.30,0.00,11.59,"m","cm"
1005361459,1005178370,"7230087",20.30,0.00,5.20,"m","cm"
1005361506,1005178373,"7230088",20.30,0.00,4.57,"m","cm"
1005361540,1005178376,"7230089",20.30,0.00,9.00,"m","cm"
1005361575,1005178379,"7230090",20.30,0.00,6.80,"m","cm"
1005361707,1005178385,"7230092",20.30,0.00,8.50,"m","cm"
1005361730,1005178388,"7230093",20.30,0.00,10.90,"m","cm"
1005361751,1005178434,"7230094",20.30,0.00,4.90,"m","cm"
1005361779,1005178444,"7230095",20.30,0.00,8.40,"m","cm"
1005361797,1005178447,"7230096",,0.00,4.30,"m","cm"
1005361798,1005178447,"7230096",,4.30,30.30,"m","cm"
1005361810,1005178450,"7230097",20.30,0.00,21.40,"m","cm"
1005361811,1005178450,"7230097",10.16,21.40,24.50,"m","cm"
1005361827,1005178460,"7230098",20.30,0.00,10.00,"m","cm"
1005370719,1005179602,"7230217",10.00,0.00,110.00,"ft","inch"
1005370720,1005179602,"7230217",6.12,110.00,130.00,"ft","inch"
1005371522,1005184691,"7230291",24.90,0.00,15.80,"m","cm"
1005371523,1005184691,"7230291",15.55,15.80,34.10,"m","cm"
1005404687,1005184904,"7230307",,,,"ft","inch"
1005404696,1005184907,"7230308",,,,"ft","inch"
1005404726,1005184910,"7230309",9.75,0.00,131.00,"ft","inch"
1005404727,1005184910,"7230309",6.00,131.00,240.00,"ft","inch"
1005404817,1005184913,"7230310",9.75,0.00,30.00,"ft","inch"
1005404818,1005184913,"7230310",5.93,30.00,100.00,"ft","inch"
1005404909,1005184916,"7230311",9.75,0.00,132.00,"ft","inch"
1005404910,1005184916,"7230311",6.12,132.00,220.00,"ft","inch"
1005404966,1005184919,"7230312",9.75,0.00,20.00,"ft","inch"
